"common_name","year","count"
"American Coot",1902,0
"American Coot",1903,0
"American Coot",1904,0
"American Coot",1905,0
"American Coot",1906,0
"American Coot",1923,0
"American Coot",1928,0
"American Coot",1929,0
"American Coot",1930,0
"American Coot",1931,0
"American Coot",1932,0
"American Coot",1933,0
"American Coot",1934,0
"American Coot",1935,0
"American Coot",1936,0
"American Coot",1937,0
"American Coot",1938,0
"American Coot",1940,3
"American Coot",1941,5
"American Coot",1942,0
"American Coot",1943,22
"American Coot",1944,0
"American Coot",1945,0
"American Coot",1946,0
"American Coot",1947,15
"American Coot",1948,12
"American Coot",1949,0
"American Coot",1950,30
"American Coot",1951,40
"American Coot",1952,40
"American Coot",1953,60
"American Coot",1954,38
"American Coot",1956,20
"American Coot",1957,30
"American Coot",1958,10
"American Coot",1959,0
"American Coot",1960,0
"American Coot",1961,0
"American Coot",1962,0
"American Coot",1963,0
"American Coot",1964,0
"American Coot",1965,0
"American Coot",1966,20
"American Coot",1967,12
"American Coot",1968,12
"American Coot",1969,5
"American Coot",1970,19
"American Coot",1971,0
"American Coot",1972,2
"American Coot",1973,0
"American Coot",1974,1
"American Coot",1975,92
"American Coot",1976,82
"American Coot",1977,56
"American Coot",1978,97
"American Coot",1979,205
"American Coot",1980,192
"American Coot",1981,489
"American Coot",1982,701
"American Coot",1983,671
"American Coot",1984,94
"American Coot",1985,171
"American Coot",1986,1
"American Coot",1987,9
"American Coot",1988,90
"American Coot",1989,75
"American Coot",1990,58
"American Coot",1991,45
"American Coot",1992,193
"American Coot",1993,302
"American Coot",1994,250
"American Coot",1995,88
"American Coot",1996,305
"American Coot",1997,224
"American Coot",1998,239
"American Coot",1999,499
"American Coot",2000,1116
"American Coot",2001,538
"American Coot",2002,1067
"American Coot",2003,181
"American Coot",2004,31
"American Coot",2005,103
"American Coot",2006,2271
"American Coot",2007,1969
"American Coot",2008,1600
"American Coot",2009,162
"American Coot",2010,1360
"American Coot",2011,377
"American Coot",2012,461
"American Coot",2013,753
"American Coot",2014,150
"American Coot",2015,65
"American Coot",2016,2
"American Coot",2017,40
"American Coot",2018,50
"American Coot",2019,0
"American Coot",2020,0
"American Coot",2021,0
"American Coot",2022,0
"American Coot",2023,0
"American Coot",2024,2
"American Crow",1902,0
"American Crow",1903,0
"American Crow",1904,0
"American Crow",1905,1
"American Crow",1906,8
"American Crow",1923,0
"American Crow",1928,0
"American Crow",1929,0
"American Crow",1930,0
"American Crow",1931,0
"American Crow",1932,0
"American Crow",1933,15
"American Crow",1934,47
"American Crow",1935,0
"American Crow",1936,0
"American Crow",1937,0
"American Crow",1938,0
"American Crow",1940,0
"American Crow",1941,0
"American Crow",1942,0
"American Crow",1943,0
"American Crow",1944,0
"American Crow",1945,0
"American Crow",1946,0
"American Crow",1947,29
"American Crow",1948,62
"American Crow",1949,26
"American Crow",1950,63
"American Crow",1951,100
"American Crow",1952,42
"American Crow",1953,55
"American Crow",1954,75
"American Crow",1956,86
"American Crow",1957,99
"American Crow",1958,8
"American Crow",1959,78
"American Crow",1960,153
"American Crow",1961,150
"American Crow",1962,74
"American Crow",1963,72
"American Crow",1964,190
"American Crow",1965,120
"American Crow",1966,220
"American Crow",1967,310
"American Crow",1968,138
"American Crow",1969,185
"American Crow",1970,81
"American Crow",1971,140
"American Crow",1972,175
"American Crow",1973,184
"American Crow",1974,430
"American Crow",1975,426
"American Crow",1976,389
"American Crow",1977,896
"American Crow",1978,579
"American Crow",1979,704
"American Crow",1980,921
"American Crow",1981,790
"American Crow",1982,1016
"American Crow",1983,665
"American Crow",1984,755
"American Crow",1985,904
"American Crow",1986,956
"American Crow",1987,853
"American Crow",1988,992
"American Crow",1989,869
"American Crow",1990,1010
"American Crow",1991,1006
"American Crow",1992,1175
"American Crow",1993,1128
"American Crow",1994,1154
"American Crow",1995,1320
"American Crow",1996,1402
"American Crow",1997,1334
"American Crow",1998,1346
"American Crow",1999,1553
"American Crow",2000,1355
"American Crow",2001,1520
"American Crow",2002,1284
"American Crow",2003,1109
"American Crow",2004,1323
"American Crow",2005,1445
"American Crow",2006,1470
"American Crow",2007,1327
"American Crow",2008,1436
"American Crow",2009,1709
"American Crow",2010,1410
"American Crow",2011,1770
"American Crow",2012,2017
"American Crow",2013,1994
"American Crow",2014,1946
"American Crow",2015,1357
"American Crow",2016,1804
"American Crow",2017,1509
"American Crow",2018,970
"American Crow",2019,1372
"American Crow",2020,1562
"American Crow",2021,1056
"American Crow",2022,1301
"American Crow",2023,1002
"American Crow",2024,896
"American Goldfinch",1902,0
"American Goldfinch",1903,0
"American Goldfinch",1904,0
"American Goldfinch",1905,5
"American Goldfinch",1906,2
"American Goldfinch",1923,0
"American Goldfinch",1928,0
"American Goldfinch",1929,0
"American Goldfinch",1930,0
"American Goldfinch",1931,0
"American Goldfinch",1932,49
"American Goldfinch",1933,112
"American Goldfinch",1934,68
"American Goldfinch",1935,0
"American Goldfinch",1936,0
"American Goldfinch",1937,0
"American Goldfinch",1938,0
"American Goldfinch",1940,0
"American Goldfinch",1941,0
"American Goldfinch",1942,0
"American Goldfinch",1943,0
"American Goldfinch",1944,0
"American Goldfinch",1945,0
"American Goldfinch",1946,0
"American Goldfinch",1947,32
"American Goldfinch",1948,66
"American Goldfinch",1949,77
"American Goldfinch",1950,77
"American Goldfinch",1951,34
"American Goldfinch",1952,50
"American Goldfinch",1953,66
"American Goldfinch",1954,48
"American Goldfinch",1956,43
"American Goldfinch",1957,143
"American Goldfinch",1958,20
"American Goldfinch",1959,35
"American Goldfinch",1960,21
"American Goldfinch",1961,102
"American Goldfinch",1962,24
"American Goldfinch",1963,46
"American Goldfinch",1964,47
"American Goldfinch",1965,100
"American Goldfinch",1966,190
"American Goldfinch",1967,280
"American Goldfinch",1968,104
"American Goldfinch",1969,370
"American Goldfinch",1970,175
"American Goldfinch",1971,309
"American Goldfinch",1972,65
"American Goldfinch",1973,220
"American Goldfinch",1974,364
"American Goldfinch",1975,191
"American Goldfinch",1976,248
"American Goldfinch",1977,624
"American Goldfinch",1978,515
"American Goldfinch",1979,720
"American Goldfinch",1980,1700
"American Goldfinch",1981,800
"American Goldfinch",1982,1362
"American Goldfinch",1983,944
"American Goldfinch",1984,972
"American Goldfinch",1985,850
"American Goldfinch",1986,1055
"American Goldfinch",1987,742
"American Goldfinch",1988,785
"American Goldfinch",1989,793
"American Goldfinch",1990,1124
"American Goldfinch",1991,888
"American Goldfinch",1992,703
"American Goldfinch",1993,1055
"American Goldfinch",1994,818
"American Goldfinch",1995,803
"American Goldfinch",1996,807
"American Goldfinch",1997,1059
"American Goldfinch",1998,994
"American Goldfinch",1999,943
"American Goldfinch",2000,698
"American Goldfinch",2001,1610
"American Goldfinch",2002,1258
"American Goldfinch",2003,1298
"American Goldfinch",2004,1299
"American Goldfinch",2005,1669
"American Goldfinch",2006,985
"American Goldfinch",2007,1228
"American Goldfinch",2008,1543
"American Goldfinch",2009,583
"American Goldfinch",2010,1416
"American Goldfinch",2011,634
"American Goldfinch",2012,1248
"American Goldfinch",2013,836
"American Goldfinch",2014,1270
"American Goldfinch",2015,833
"American Goldfinch",2016,959
"American Goldfinch",2017,946
