"common_name","year","count"
"Canada Goose",1952,0
"Canada Goose",1957,0
"Canada Goose",1958,1
"Canada Goose",1960,0
"Canada Goose",1961,0
"Canada Goose",1962,0
"Canada Goose",1963,0
"Canada Goose",1964,0
"Canada Goose",1965,0
"Canada Goose",1966,0
"Canada Goose",1967,0
"Canada Goose",1968,0
"Canada Goose",1969,0
"Canada Goose",1970,0
"Canada Goose",1971,0
"Canada Goose",1972,0
"Canada Goose",1973,0
"Canada Goose",1974,0
"Canada Goose",1975,0
"Canada Goose",1976,0
"Canada Goose",1977,0
"Canada Goose",1978,0
"Canada Goose",1979,0
"Canada Goose",1980,6
"Canada Goose",1981,18
"Canada Goose",1982,0
"Canada Goose",1983,7
"Canada Goose",1984,27
"Canada Goose",1985,7
"Canada Goose",1986,29
"Canada Goose",1987,14
"Canada Goose",1988,8
"Canada Goose",1989,29
"Canada Goose",1990,50
"Canada Goose",1991,105
"Canada Goose",1992,103
"Canada Goose",1993,113
"Canada Goose",1994,122
"Canada Goose",1995,215
"Canada Goose",1996,180
"Canada Goose",1997,156
"Canada Goose",1998,337
"Canada Goose",1999,227
"Canada Goose",2000,467
"Canada Goose",2001,353
"Canada Goose",2002,440
"Canada Goose",2003,357
"Canada Goose",2004,328
"Canada Goose",2005,289
"Canada Goose",2006,358
"Canada Goose",2007,273
"Canada Goose",2008,326
"Canada Goose",2009,242
"Canada Goose",2010,261
"Canada Goose",2011,304
"Canada Goose",2012,217
"Canada Goose",2013,97
"Canada Goose",2014,144
"Canada Goose",2015,149
"Canada Goose",2016,117
"Canada Goose",2017,137
"Canada Goose",2018,82
"Canada Goose",2019,88
"Canada Goose",2020,124
"Canada Goose",2021,236
"Canada Goose",2022,211
"Canada Goose",2023,119
"Canada Goose",2024,103
"Mute Swan",1952,0
"Mute Swan",1957,0
"Mute Swan",1958,0
"Mute Swan",1960,0
"Mute Swan",1961,0
"Mute Swan",1962,0
"Mute Swan",1963,0
"Mute Swan",1964,0
"Mute Swan",1965,0
"Mute Swan",1966,0
"Mute Swan",1967,0
"Mute Swan",1968,0
"Mute Swan",1969,0
"Mute Swan",1970,0
"Mute Swan",1971,0
"Mute Swan",1972,0
"Mute Swan",1973,0
"Mute Swan",1974,0
"Mute Swan",1975,0
"Mute Swan",1976,0
"Mute Swan",1977,0
"Mute Swan",1978,0
"Mute Swan",1979,0
"Mute Swan",1980,0
"Mute Swan",1981,0
"Mute Swan",1982,0
"Mute Swan",1983,0
"Mute Swan",1984,0
"Mute Swan",1985,0
"Mute Swan",1986,0
"Mute Swan",1987,0
"Mute Swan",1988,0
"Mute Swan",1989,0
"Mute Swan",1990,0
"Mute Swan",1991,0
"Mute Swan",1992,0
"Mute Swan",1993,0
"Mute Swan",1994,0
"Mute Swan",1995,0
"Mute Swan",1996,0
"Mute Swan",1997,0
"Mute Swan",1998,0
"Mute Swan",1999,0
"Mute Swan",2000,0
"Mute Swan",2001,0
"Mute Swan",2002,0
"Mute Swan",2003,0
"Mute Swan",2004,0
"Mute Swan",2005,0
"Mute Swan",2006,0
"Mute Swan",2007,0
"Mute Swan",2008,2
"Mute Swan",2009,1
"Mute Swan",2010,0
"Mute Swan",2011,0
"Mute Swan",2012,0
"Mute Swan",2013,0
"Mute Swan",2014,0
"Mute Swan",2015,0
"Mute Swan",2016,0
"Mute Swan",2017,0
"Mute Swan",2018,0
"Mute Swan",2019,0
"Mute Swan",2020,0
"Mute Swan",2021,0
"Mute Swan",2022,0
"Mute Swan",2023,0
"Mute Swan",2024,0
"Wood Duck",1952,0
"Wood Duck",1957,0
"Wood Duck",1958,0
"Wood Duck",1960,0
"Wood Duck",1961,0
"Wood Duck",1962,0
"Wood Duck",1963,2
"Wood Duck",1964,0
"Wood Duck",1965,1
"Wood Duck",1966,4
"Wood Duck",1967,6
"Wood Duck",1968,3
"Wood Duck",1969,5
"Wood Duck",1970,11
"Wood Duck",1971,14
"Wood Duck",1972,8
"Wood Duck",1973,13
"Wood Duck",1974,8
"Wood Duck",1975,27
"Wood Duck",1976,35
"Wood Duck",1977,18
"Wood Duck",1978,16
"Wood Duck",1979,17
"Wood Duck",1980,21
"Wood Duck",1981,36
"Wood Duck",1982,28
"Wood Duck",1983,35
"Wood Duck",1984,33
"Wood Duck",1985,39
"Wood Duck",1986,51
"Wood Duck",1987,21
"Wood Duck",1988,17
"Wood Duck",1989,31
"Wood Duck",1990,15
"Wood Duck",1991,29
"Wood Duck",1992,48
"Wood Duck",1993,30
"Wood Duck",1994,57
"Wood Duck",1995,47
"Wood Duck",1996,44
"Wood Duck",1997,31
"Wood Duck",1998,34
"Wood Duck",1999,35
"Wood Duck",2000,50
"Wood Duck",2001,58
"Wood Duck",2002,77
"Wood Duck",2003,64
"Wood Duck",2004,44
"Wood Duck",2005,31
"Wood Duck",2006,72
"Wood Duck",2007,81
"Wood Duck",2008,28
"Wood Duck",2009,62
"Wood Duck",2010,56
"Wood Duck",2011,18
"Wood Duck",2012,17
"Wood Duck",2013,34
"Wood Duck",2014,54
"Wood Duck",2015,31
"Wood Duck",2016,29
"Wood Duck",2017,25
"Wood Duck",2018,15
"Wood Duck",2019,24
"Wood Duck",2020,86
"Wood Duck",2021,78
"Wood Duck",2022,37
"Wood Duck",2023,65
"Wood Duck",2024,43
"Blue-winged Teal",1952,0
"Blue-winged Teal",1957,0
"Blue-winged Teal",1958,0
"Blue-winged Teal",1960,0
"Blue-winged Teal",1961,0
"Blue-winged Teal",1962,0
"Blue-winged Teal",1963,0
"Blue-winged Teal",1964,0
"Blue-winged Teal",1965,4
"Blue-winged Teal",1966,0
"Blue-winged Teal",1967,0
"Blue-winged Teal",1968,0
"Blue-winged Teal",1969,0
"Blue-winged Teal",1970,5
"Blue-winged Teal",1971,5
"Blue-winged Teal",1972,0
"Blue-winged Teal",1973,0
"Blue-winged Teal",1974,0
"Blue-winged Teal",1975,0
"Blue-winged Teal",1976,5
"Blue-winged Teal",1977,0
"Blue-winged Teal",1978,0
"Blue-winged Teal",1979,2
"Blue-winged Teal",1980,2
"Blue-winged Teal",1981,0
"Blue-winged Teal",1982,1
"Blue-winged Teal",1983,0
"Blue-winged Teal",1984,9
"Blue-winged Teal",1985,0
"Blue-winged Teal",1986,0
"Blue-winged Teal",1987,0
"Blue-winged Teal",1988,0
"Blue-winged Teal",1989,0
"Blue-winged Teal",1990,0
