"year","Acadian Flycatcher","American Crow","American Goldfinch","American Redstart","American Robin","Barn Swallow","Black-and-white Warbler","Black-thr Blue Warbler","Black-throated Blue Warbler","Blue Grosbeak","Blue Jay","Blue-gray Gnatcatcher","Bobolink","Brown Thrasher","Brown-headed Cowbird","Brown-headed Nuthatch","Carolina Chickadee","Carolina Wren","Cedar Waxwing","Chimney Swift","Chipping Sparrow","Cliff Swallow","Common Grackle","Common Yellowthroat","Downy Woodpecker","Eastern Bluebird","Eastern Kingbird","Eastern Phoebe","Eastern Towhee","Eastern Wood-Pewee","European Starling","Fish Crow","Gray Catbird","Great Crested Flycatcher","Hooded Warbler","House Finch","House Sparrow","Indigo Bunting","Mourning Dove","N. Rough-winged Swallow","Northern Cardinal","Northern Mockingbird","Northern Parula","Orchard Oriole","Ovenbird","Pine Warbler","Prairie Warbler","Prothonotary Warbler","Purple Martin","Red-bellied Woodpecker","Red-eyed Vireo","Red-winged Blackbird","Ring-billed Gull","Ruby-throated Hummingbird","Scarlet Tanager","Summer Tanager","Tufted Titmouse","White-breasted Nuthatch","White-eyed Vireo","White-throated Sparrow","Wood Thrush","Yellow-breasted Chat","Yellow-rumped (Myrtle) Warbler","Yellow-rumped Warbler","Yellow-throated Warbler"
1999,39,573,579,95,350,348,52,26,50,112,314,508,54,135,170,99,510,639,434,253,236,129,590,199,94,436,153,84,291,62,485,46,79,146,68,229,97,368,368,64,815,306,166,62,204,435,111,41,75,293,566,159,158,26,119,164,548,33,66,230,163,107,351,38,126
2000,77,699,672,97,454,233,32,17,4,163,380,770,136,154,242,106,722,554,70,350,281,206,636,212,139,414,162,49,375,118,529,38,86,162,110,316,190,522,657,67,1032,389,154,55,276,522,119,55,68,337,810,187,150,60,123,203,884,80,79,8,280,170,4,25,113
2001,68,805,613,63,452,316,36,10,24,145,309,515,49,154,290,147,618,657,417,283,332,217,793,217,107,492,156,89,391,82,513,60,109,156,82,312,135,533,582,76,1132,300,185,65,255,527,122,50,74,305,705,257,41,32,127,266,683,72,63,7,220,121,24,7,82
2002,86,856,946,123,522,400,90,57,39,143,405,734,155,241,348,190,792,737,293,405,493,186,757,292,156,544,142,138,559,117,472,71,148,186,132,511,156,542,652,93,1433,430,191,86,372,607,150,68,103,410,619,256,210,61,141,244,864,97,105,59,232,132,46,253,100
2003,102,714,972,81,526,378,72,13,114,154,362,727,160,176,361,166,619,658,295,2079,371,299,645,220,131,431,160,68,500,97,446,76,130,231,141,289,164,484,732,75,1233,354,283,68,313,353,120,73,102,484,706,259,131,64,175,311,879,124,84,39,265,146,118,15,91
2004,90,480,620,90,339,234,78,38,41,108,268,541,124,99,200,127,380,724,263,233,340,221,661,257,83,352,123,56,408,68,326,42,123,124,81,204,79,371,542,55,968,327,157,48,240,340,124,58,51,292,466,281,59,56,86,208,528,63,58,38,175,94,17,137,82
2005,52,533,776,98,287,256,134,64,86,92,738,567,37,113,317,106,469,745,191,249,445,370,528,225,94,404,153,62,393,71,472,88,160,172,106,206,122,270,427,62,1189,280,205,62,330,372,76,84,76,328,622,215,608,48,146,243,624,63,54,366,169,70,303,240,93
2006,101,546,666,67,365,219,35,22,87,80,237,488,109,157,287,113,524,813,291,495,332,204,558,157,104,368,117,78,411,69,296,93,147,157,67,247,122,326,486,90,1172,294,136,50,219,373,50,78,84,255,408,165,220,48,101,201,544,60,58,66,168,71,83,228,53
2007,38,554,547,103,276,411,46,40,119,93,191,476,40,89,296,101,412,558,213,153,314,232,459,238,94,324,109,80,320,39,213,72,154,145,52,192,96,236,389,148,897,224,172,66,201,302,53,55,84,227,319,190,272,43,85,188,488,41,50,53,140,72,85,131,59
2008,63,547,707,46,302,147,52,30,78,91,299,581,20,117,277,141,447,620,112,161,423,174,463,204,79,433,116,96,386,48,222,75,99,197,84,291,66,331,379,113,983,302,238,48,273,373,103,89,79,288,490,135,315,29,89,270,641,62,95,41,126,101,93,76,98
