"","European.Starling","American.Robin","Brown.Thrasher","Northern.Mockingbird","Blue.gray.Gnatcatcher","Tufted.Titmouse","Field.Sparrow","Northern.Cardinal","Common.Yellowthroat","Blue.Jay","Northern.Bobwhite","Carolina.Chickadee","Chipping.Sparrow","Common.Grackle","Gray.Catbird","House.Sparrow","Red.winged.Blackbird","Song.Sparrow","House.Finch","Brown.headed.Nuthatch","Red.bellied.Woodpecker","Eastern.Towhee","Pine.Warbler","American.Goldfinch","Brown.headed.Cowbird","American.Crow","Downy.Woodpecker","Mourning.Dove","White.breasted.Nuthatch","Fish.Crow","Eastern.Meadowlark","Eastern.Phoebe","Eastern.Bluebird","Carolina.Wren","Pileated.Woodpecker"
"European.Starling",1,0.152136752136752,0.19042735042735,0.233504273504273,-0.371623931623932,-0.148717948717949,-0.287570529078967,-0.316239316239316,0.137777777777778,0.202051282051282,-0.0215384615384615,0.130940170940171,0.262905982905983,0.10017094017094,-0.152136752136752,-0.0444520437339664,-0.277948717948718,-0.494017094017094,-0.214358974358974,0.00923076923076923,-0.0728205128205128,-0.16034188034188,0.042051282051282,-0.280683760683761,-0.202051282051282,-0.117264957264957,-0.286837606837607,-0.0618803418803419,-0.444102564102564,-0.221880341880342,-0.425713803452217,-0.116581196581197,0.0256410256410256,0.0386324786324786,-0.0721367521367521
"American.Robin",0.152136752136752,1,0.336752136752137,0.457777777777778,-0.00991452991452991,0.11042735042735,0.130278682020317,0.210940170940171,-0.315555555555556,-0.0126495726495726,-0.16034188034188,-0.213675213675214,-0.164444444444444,0.260854700854701,-0.0461538461538461,-0.103949394577891,-0.398290598290598,-0.338119658119658,-0.225299145299145,-0.0632478632478632,-0.0263247863247863,0.0105982905982906,0.0372649572649573,0.091965811965812,-0.00991452991452991,0.0201709401709402,-0.0851282051282051,-0.0912820512820513,0.0871794871794872,0.103589743589744,0.0485553093094095,0.231452991452991,0.014017094017094,0.155555555555556,0.39008547008547
"Brown.Thrasher",0.19042735042735,0.336752136752137,1,0.48991452991453,0.204786324786325,0.0700854700854701,0.211318177135317,0.0454700854700855,-0.195213675213675,0.000341880341880342,0.0201709401709402,-0.0803418803418803,-0.284102564102564,-0.055042735042735,-0.292991452991453,-0.39357155644458,-0.362051282051282,-0.139145299145299,-0.0153846153846154,0.379145299145299,0.48034188034188,0.0735042735042735,-0.0844444444444444,-0.0769230769230769,0.0064957264957265,-0.0324786324786325,0.065982905982906,0.301880341880342,0.361367521367521,0.0502564102564102,-0.468798091994369,-0.251282051282051,0.150769230769231,-0.187692307692308,0.0133333333333333
"Northern.Mockingbird",0.233504273504273,0.457777777777778,0.48991452991453,1,-0.176752136752137,0.0105982905982906,0.396649005626162,0.245811965811966,0.132991452991453,0.364786324786325,0.20957264957265,0.0700854700854701,-0.111794871794872,0.231452991452991,-0.0379487179487179,0.0492391869053166,-0.116581196581197,-0.314188034188034,0.0912820512820513,0.469401709401709,0.451623931623932,0.305299145299145,0.285470085470085,0.291623931623932,-0.0899145299145299,0.0632478632478632,0.288205128205128,0.324444444444444,0.112478632478632,0.0201709401709402,-0.161395112634093,0.204102564102564,0.0994871794871795,0.165128205128205,0.260854700854701
"Blue.gray.Gnatcatcher",-0.371623931623932,-0.00991452991452991,0.204786324786325,-0.176752136752137,1,0.130940170940171,0.0136775519181435,0.0386324786324786,0.113162393162393,0.027008547008547,-0.107008547008547,-0.180854700854701,-0.184273504273504,-0.096068376068376,0.0495726495726496,-0.277996242736267,-0.262222222222222,-0.151452991452991,-0.0981196581196581,-0.10974358974359,0.258803418803419,0.0543589743589744,-0.374358974358974,-0.277264957264957,0.0611965811965812,0.0290598290598291,-0.0844444444444444,0.142564102564103,0.316923076923077,-0.117948717948718,-0.0584715344500635,-0.142564102564103,-0.197948717948718,0.00854700854700855,-0.167863247863248
"Tufted.Titmouse",-0.148717948717949,0.11042735042735,0.0700854700854701,0.0105982905982906,0.130940170940171,1,0.334758083196562,0.338803418803419,-0.146666666666667,-0.055042735042735,-0.196581196581197,0.527521367521367,0.0570940170940171,0.182905982905983,-0.153504273504273,-0.120704395677616,-0.483076923076923,0.0625641025641026,0.223247863247863,-0.23008547008547,0.224615384615385,0.0598290598290598,0.0618803418803419,0.0181196581196581,0.0468376068376068,0.120683760683761,0.294358974358974,0.00854700854700855,0.143931623931624,0.117264957264957,0.149085315907764,-0.0864957264957265,-0.60957264957265,-0.237606837606838,-0.0618803418803419
"Field.Sparrow",-0.287570529078967,0.130278682020317,0.211318177135317,0.396649005626162,0.0136775519181435,0.334758083196562,1,0.49649513462861,0.260899302838587,0.176098480946098,0.447597886521246,0.319028898490697,0.0382971453708018,0.103265516981984,0.0177808174935866,0.171682626538988,0.227389300639136,0.320738592480465,0.334074205600655,0.266028384807891,0.364506758618525,0.209266544347596,0.0612070448336922,0.329970940025212,0.176440419744051,-0.356642166265592,0.0957428634270046,0.151136948695486,-0.00923234754474687,0.0977944962147261,0.189979480164159,-0.0878782710740721,-0.147033683120043,0.0697555147825319,-0.0574457180562028
"Northern.Cardinal",-0.316239316239316,0.210940170940171,0.0454700854700855,0.245811965811966,0.0386324786324786,0.338803418803419,0.49649513462861,1,-0.0912820512820513,0.32034188034188,0.0735042735042735,0.265641025641026,-0.172649572649573,0.383931623931624,0.00170940170940171,-0.0844588830945362,0.0454700854700855,0.212991452991453,0.145299145299145,0.0988034188034188,0.225982905982906,0.324444444444444,0.221880341880342,0.405811965811966,0.327179487179487,-0.206153846153846,0.343589743589744,-0.0475213675213675,0.291623931623932,-0.00991452991452991,0.188408277672427,-0.143247863247863,-0.11042735042735,0.262905982905983,0.357264957264957
"Common.Yellowthroat",0.137777777777778,-0.315555555555556,-0.195213675213675,0.132991452991453,0.113162393162393,-0.146666666666667,0.260899302838587,-0.0912820512820513,1,0.340854700854701,0.238290598290598,-0.0290598290598291,0.292991452991453,0.102222222222222,0.21025641025641,0.383997270101879,0.413333333333333,-0.180854700854701,0.0611965811965812,0.0502564102564102,0.161709401709402,0.163076923076923,-0.0905982905982906,-0.145982905982906,-0.307350427350427,-0.242393162393162,-0.0748717948717949,0.236239316239316,-0.504273504273504,-0.477606837606838,-0.202769707186478,-0.223247863247863,-0.388717948717949,-0.0290598290598291,-0.353846153846154
"Blue.Jay",0.202051282051282,-0.0126495726495726,0.000341880341880342,0.364786324786325,0.027008547008547,-0.055042735042735,0.176098480946098,0.32034188034188,0.340854700854701,1,0.416068376068376,0.0694017094017094,0.15008547008547,0.178803418803419,0.0577777777777778,0.266370323605845,0.0194871794871795,-0.457094017094017,-0.217094017094017,0.102905982905983,0.277264957264957,0.0509401709401709,0.107692307692308,0.0365811965811966,0.0324786324786325,0.0201709401709402,0.172649572649573,0.247179487179487,-0.105641025641026,-0.285470085470085,-0.0212002054731224,-0.11042735042735,0.148034188034188,0.360683760683761,0.235555555555556
