"","Carolina.Chickadee","Northern.Cardinal","Eastern.Towhee","Brown.Thrasher","Tufted.Titmouse","Common.Grackle","Pine.Warbler","American.Robin","Eastern.Phoebe","Red.winged.Blackbird","European.Starling","American.Goldfinch","House.Finch","Downy.Woodpecker","House.Sparrow","Eastern.Bluebird","Brown.headed.Cowbird","Mourning.Dove","Carolina.Wren","Chipping.Sparrow","Brown.headed.Nuthatch","Red.bellied.Woodpecker","Blue.Jay","Northern.Mockingbird","American.Crow","White.breasted.Nuthatch"
"Carolina.Chickadee",1,0.596581196581196,0.387350427350427,0.351111111111111,0.451623931623932,-0.0899145299145299,-0.0988034188034188,0.296410256410256,0.333333333333333,-0.170598290598291,0.199316239316239,-0.0194871794871795,-0.207521367521368,0.225982905982906,0.0290598290598291,-0.0064957264957265,0.0755555555555555,0.482393162393162,0.40991452991453,0.562393162393162,0.164444444444444,0.347008547008547,0.0885470085470085,0.262222222222222,0.268376068376068,0.368888888888889
"Northern.Cardinal",0.596581196581196,1,0.308034188034188,0.442051282051282,0.516581196581197,-0.228034188034188,-0.16034188034188,-0.0488888888888889,-0.195897435897436,-0.145299145299145,0.0830769230769231,-0.343589743589744,-0.453675213675214,-0.00102564102564103,-0.115213675213675,-0.208888888888889,-0.0290598290598291,0.0988034188034188,0.467350427350427,0.273846153846154,0.0844444444444444,0.194529914529915,0.114529914529915,0.068034188034188,0.173333333333333,0.198632478632479
"Eastern.Towhee",0.387350427350427,0.308034188034188,1,0.452307692307692,0.39965811965812,0.167863247863248,0.19042735042735,-0.0263247863247863,0.21982905982906,-0.291623931623932,-0.132991452991453,-0.343589743589744,-0.364102564102564,0.137777777777778,-0.446837606837607,0.161025641025641,0.122735042735043,0.115897435897436,0.0064957264957265,0.0509401709401709,-0.0523076923076923,0.31008547008547,-0.0899145299145299,0.115213675213675,0.151452991452991,0.30051282051282
"Brown.Thrasher",0.351111111111111,0.442051282051282,0.452307692307692,1,0.644444444444444,0.0290598290598291,0.109059829059829,-0.167863247863248,0.307350427350427,-0.31965811965812,0.351111111111111,-0.0516239316239316,-0.00102564102564103,0.0311111111111111,-0.193846153846154,0.24034188034188,0.495384615384615,0.473504273504273,-0.0105982905982906,0.0577777777777778,-0.259487179487179,-0.0830769230769231,0.0434188034188034,0.193846153846154,-0.0105982905982906,0.0823931623931624
"Tufted.Titmouse",0.451623931623932,0.516581196581197,0.39965811965812,0.644444444444444,1,0.00239316239316239,0.413333333333333,-0.377094017094017,0.114529914529915,-0.157606837606838,0.104273504273504,-0.247179487179487,-0.111111111111111,0.374358974358974,-0.0345299145299145,0.365470085470085,0.140512820512821,0.258119658119658,0.416068376068376,0.373675213675214,-0.00102564102564103,0.245128205128205,0.311452991452991,0.144615384615385,0.312136752136752,0.137094017094017
"Common.Grackle",-0.0899145299145299,-0.228034188034188,0.167863247863248,0.0290598290598291,0.00239316239316239,1,0.282735042735043,0.00512820512820513,0.16991452991453,-0.2,0.104957264957265,0.264273504273504,0.247179487179487,0.34017094017094,-0.152820512820513,0.279316239316239,0.0276923076923077,0.112478632478632,-0.122051282051282,-0.207521367521368,-0.0509401709401709,0.191111111111111,0.117264957264957,0.143247863247863,0.00376068376068376,-0.0427350427350427
"Pine.Warbler",-0.0988034188034188,-0.16034188034188,0.19042735042735,0.109059829059829,0.413333333333333,0.282735042735043,1,-0.202051282051282,0.252649572649573,-0.0311111111111111,-0.168547008547009,-0.121367521367521,-0.124102564102564,0.221196581196581,-0.353846153846154,0.140512820512821,-0.165811965811966,-0.271794871794872,0.237606837606838,0.234871794871795,0.0878632478632479,0.26017094017094,0.427008547008547,-0.00717948717948718,0.112478632478632,-0.00786324786324786
"American.Robin",0.296410256410256,-0.0488888888888889,-0.0263247863247863,-0.167863247863248,-0.377094017094017,0.00512820512820513,-0.202051282051282,1,0.504957264957265,0.0776068376068376,0.141880341880342,0.285470085470085,0.0406837606837607,-0.258803418803419,0.0687179487179487,-0.290940170940171,-0.068034188034188,0.183589743589744,0.0782905982905983,0.13982905982906,0.416068376068376,0.158974358974359,-0.144615384615385,0.11042735042735,0.091965811965812,-0.0823931623931624
"Eastern.Phoebe",0.333333333333333,-0.195897435897436,0.21982905982906,0.307350427350427,0.114529914529915,0.16991452991453,0.252649572649573,0.504957264957265,1,-0.00444444444444444,0.169230769230769,0.472136752136752,0.258803418803419,0.197948717948718,-0.0290598290598291,-0.0242735042735043,0.310769230769231,0.462564102564102,0.125470085470085,0.395555555555555,0.231452991452991,0.37982905982906,0.138461538461538,0.461196581196581,0.146666666666667,0.145299145299145
"Red.winged.Blackbird",-0.170598290598291,-0.145299145299145,-0.291623931623932,-0.31965811965812,-0.157606837606838,-0.2,-0.0311111111111111,0.0776068376068376,-0.00444444444444444,1,0.131623931623932,0.31965811965812,0.30051282051282,-0.321709401709402,0.198632478632479,-0.214358974358974,-0.135042735042735,0.139145299145299,-0.0885470085470085,0.0331623931623932,0.00170940170940171,0.0229059829059829,0.16034188034188,-0.0167521367521367,0.189059829059829,-0.111794871794872
"European.Starling",0.199316239316239,0.0830769230769231,-0.132991452991453,0.351111111111111,0.104273504273504,0.104957264957265,-0.168547008547009,0.141880341880342,0.169230769230769,0.131623931623932,1,0.537094017094017,0.483760683760684,-0.197948717948718,0.156239316239316,0.208205128205128,0.15008547008547,0.556239316239316,-0.187692307692308,-0.15965811965812,-0.370940170940171,-0.297094017094017,-0.0317948717948718,0.297094017094017,0.188376068376068,-0.145299145299145
"American.Goldfinch",-0.0194871794871795,-0.343589743589744,-0.343589743589744,-0.0516239316239316,-0.247179487179487,0.264273504273504,-0.121367521367521,0.285470085470085,0.472136752136752,0.31965811965812,0.537094017094017,1,0.76957264957265,-0.0447863247863248,0.208205128205128,-0.0153846153846154,0.272478632478632,0.51042735042735,-0.102905982905983,0.055042735042735,0.00444444444444444,0.132307692307692,0.26017094017094,0.608888888888889,0.32991452991453,0.065982905982906
"House.Finch",-0.207521367521368,-0.453675213675214,-0.364102564102564,-0.00102564102564103,-0.111111111111111,0.247179487179487,-0.124102564102564,0.0406837606837607,0.258803418803419,0.30051282051282,0.483760683760684,0.76957264957265,1,0.078974358974359,0.46051282051282,0.517948717948718,0.478974358974359,0.563760683760684,-0.177435897435897,-0.20957264957265,-0.0372649572649573,0.00239316239316239,0.18017094017094,0.44,0.306666666666667,-0.0495726495726496
"Downy.Woodpecker",0.225982905982906,-0.00102564102564103,0.137777777777778,0.0311111111111111,0.374358974358974,0.34017094017094,0.221196581196581,-0.258803418803419,0.197948717948718,-0.321709401709402,-0.197948717948718,-0.0447863247863248,0.078974358974359,1,0.39965811965812,0.363418803418803,0.183589743589744,0.154188034188034,0.452307692307692,0.328547008547008,0.299145299145299,0.485811965811966,0.277264957264957,0.204786324786325,0.111794871794872,0.397606837606838
"House.Sparrow",0.0290598290598291,-0.115213675213675,-0.446837606837607,-0.193846153846154,-0.0345299145299145,-0.152820512820513,-0.353846153846154,0.0687179487179487,-0.0290598290598291,0.198632478632479,0.156239316239316,0.208205128205128,0.46051282051282,0.39965811965812,1,0.282735042735043,0.156239316239316,0.258119658119658,0.261538461538461,0.124786324786325,0.389401709401709,0.0304273504273504,0.0564102564102564,0.00102564102564103,0.233504273504273,0.161025641025641
"Eastern.Bluebird",-0.0064957264957265,-0.208888888888889,0.161025641025641,0.24034188034188,0.365470085470085,0.279316239316239,0.140512820512821,-0.290940170940171,-0.0242735042735043,-0.214358974358974,0.208205128205128,-0.0153846153846154,0.517948717948718,0.363418803418803,0.282735042735043,1,0.48034188034188,0.38051282051282,-0.0967521367521367,-0.24991452991453,-0.0495726495726496,0.0112820512820513,0.0707692307692308,0.144615384615385,0.204102564102564,0.0324786324786325
"Brown.headed.Cowbird",0.0755555555555555,-0.0290598290598291,0.122735042735043,0.495384615384615,0.140512820512821,0.0276923076923077,-0.165811965811966,-0.068034188034188,0.310769230769231,-0.135042735042735,0.15008547008547,0.272478632478632,0.478974358974359,0.183589743589744,0.156239316239316,0.48034188034188,1,0.647863247863248,-0.19042735042735,-0.164444444444444,-0.0112820512820513,0.133675213675214,0.134358974358974,0.448888888888889,0.0687179487179487,0.355897435897436
