English Name (BirdLife > IOC > Clements>AviList),AviList v1 2025,RR,ISL,RLM,LAT,Female MinMass,Female MaxMass,Male MinMass,Male MaxMass,Unsexed MinMass,Unsexed MaxMass,Average Mass,Xmin,NormMin,Elevational Range,NormMax,Xmax,F,BM,WD,SH,SV,G,PL,R,D,A,RV,C,W,SE,O,O- DESC,Primary Habitat,HB,Primary Diet,IN-Wt,FR-Wt,NE-Wt,SE-Wt,VE-Wt,FI-Wt,SC-Wt,PL-Wt,MS-Wt,SUM-Wt,Desc,DB,Diet_Lit,ESI,Social_1,Social_2,Social_3,Social_4,Social_5,Social_6,Mono,Poly,Coop,Nest_Type,Nest_SBS,Brd1,Brd2,Clutch_Min,Clutch_Max,Incu_Sex,Incu1,Incu2,Fldg1,Fldg2,Para.1,Para.2,BrS1,BrS2,Prod1,Prod2,Flightlessness,Mig,Alt,Irreg,Disp,Sed,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle
Ring-necked Duck,Aythya collaris,0,0,LN,2,490,1180,542,1090,NA,NA,825.5,NA,0,2500,2500,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,1,NA,NA,NA,Wetland,4,Omnivore,4,0,0,3,0,0,0,3,0,10,NA,3,1,0.9208187539523752,0,0,1,0,0,0,1,0,0,"PL,CP","G,Z",NA,NA,6,14,F,25,29,49,56,1,1,67,NA,NA,NA,No,1,NA,NA,NA,NA,51.4,29.9,18.9,13.6,33.2,194.8,92.6,99.4,48.2,57.6,704.6,Dunning,NA,NO,NA,NA,Wetland,3,3,Omnivore,Herbivore aquatic,Aquatic
Bufflehead,Bucephala albeola,0,0,N,3,270,374,407,551,NA,NA,400.5,NA,0,2500,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,1,NA,NA,NA,Wetland,4,Invertebrate,7,0,0,2,0,1,0,T,0,10,NA,3,1,0.9208187539523752,0,0,0,1,0,0,1,0,0,CV,T,NA,NA,5,14,F,28,33,50,55,1,1,78.8,NA,NA,NA,No,1,NA,NA,NA,NA,28.8,18.9,12.9,9.9,30.1,160.8,75,83.5,47.4,65.4,397.5,Dunning,NA,NO,NA,NA,Wetland,3,3,Carnivore,Aquatic predator,Aquatic
Hooded Merganser,Lophodytes cucullatus,0,0,N,3,540,879,453,680,NA,NA,638,NA,0,1180,1180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,NA,NA,Wetland,3,Invertebrate,6,0,0,T,T,4,0,T,0,10,NA,2,1,1.2218487496163564,0,0,0,1,0,0,NA,NA,0,CV,"B,G,T",NA,NA,6,18,F,29,37,71,NA,0,1,74,NA,NA,NA,No,1,NA,NA,NA,NA,39.6,27.6,8.3,9.3,29.2,186.6,95,91.5,50.9,85.6,613.8,Dunning,NA,NO,NA,NA,Wetland,3,3,Carnivore,Aquatic predator,Aquatic
Ruddy Duck,Oxyura jamaicensis,0,0,LN,2,310,845,479,795,532,559,586.6666666666666,NA,0,2200,2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,Wetland,2,Invertebrate,9,0,0,1,0,0,0,T,0,10,NA,2,1,1.3979400086720377,0,0,0,1,0,0,1,1,0,CP,"G,W,Z",NA,NA,5,15,F,24,26,50,55,1,1,55,88,NA,NA,No,1,NA,NA,NA,1,45.4,24.4,20.9,10.5,31.8,139.6,59.5,82.8,41.9,70.2,608.2,Dunning,NA,NO,NA,NA,Wetland,3,1,Omnivore,Aquatic predator,Aquatic
Mourning Dove,Zenaida macroura,0,0,N,2,86,156,96,170,NA,NA,127,NA,0,2500,2500,NA,NA,NA,4,NA,1,NA,5,NA,NA,2,3,NA,NA,NA,NA,NA,Savanna,5,Seed,T,0,0,10,0,0,0,T,0,10,NA,1,1,1.3010299956639813,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"G,S,T",NA,NA,2,2,NA,15,15.5,11,15,0,0,NA,NA,NA,NA,No,1,NA,NA,NA,1,19.6,9.3,2.7,3.4,19.6,144.4,53.1,91.6,36.6,122.2,118.9,Dunning,NA,NO,NA,NA,Human Modified,3,1,Herbivore,Granivore,Terrestrial
American Coot,Fulica americana,0,0,LN,2,300,666,320,848,427,848,568.1666666666666,NA,0,2500,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,NA,NA,Wetland,3,Plant,1,0,0,1,T,0,T,8,0,10,NA,3,1,1.045757490560675,NA,NA,NA,NA,NA,NA,1,0,0,PL,W,1,2,6,15,B,22,27,60,70,1,1,80,NA,NA,NA,No,1,1,NA,NA,1,37.3,14.8,5.9,10.7,54.8,183.1,65.8,115.7,36.3,50.6,636.7,Dunning,NA,NO,NA,NA,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic
Pied-billed Grebe,Podilymbus podiceps,0,0,LN,2,253,479,321,568,253,568,407,NA,0,4080,4080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,NA,NA,NA,Wetland,3,Invertebrate,6,0,0,0,T,4,0,0,0,10,NA,2,1,1.2218487496163564,0,0,0,1,1,0,1,0,2,PL,"W,Z",1,2,2,10,B,23,27,25,62,0,0,60.9,62.2,NA,NA,No,1,NA,NA,NA,1,28.8,14.1,5.4,10.6,37.1,125.6,41.8,81.1,34,32.6,411.9,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Aquatic
Horned Grebe,Podiceps auritus,0,0,NP,3,350,433,320,515,300,570,414.6666666666667,NA,0,1000,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,NA,NA,Wetland,3,Invertebrate,6,0,0,0,1,3,0,T,0,10,NA,3,1,1.045757490560675,0,0,1,0,0,0,1,0,3,PL,G,1,2,1,8,B,22,25,55,60,NA,NA,NA,NA,NA,NA,No,1,NA,NA,NA,NA,30.2,15.4,4.7,7.1,42.9,137.8,57.2,78.3,42.2,33.2,453,Dunning,NA,NO,NA,NA,Wetland,3,3,Carnivore,Aquatic predator,Aquatic
Bonaparte's Gull,Chroicocephalus philadelphia,0,0,N,3,196.3,230,170,222,NA,NA,204.575,NA,0,600,600,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,3,NA,NA,NA,Coastal,3,Carnivore,5,0,0,0,0,5,0,0,0,10,NA,2,1,1.2218487496163564,0,1,0,0,0,0,NA,NA,0,PL,T,NA,NA,1,3,NA,22,25,NA,NA,0,0,NA,NA,NA,NA,No,1,NA,NA,NA,NA,35,16.2,3.6,6.6,32.3,259.4,153.2,106.5,59,95.6,210.7,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Omnivore,Aerial
Ring-billed Gull,Larus delawarensis,0,0,LN,2,300,600,400,700,NA,NA,500,NA,0,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,3,NA,NA,NA,Coastal,4,Carnivore,2,0,0,1,1,5,1,0,0,10,NA,5,1,0.6989700043360189,1,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,3,3,NA,25,28,37,NA,1,1,NA,NA,NA,NA,No,1,NA,NA,NA,NA,48.1,19.6,6.2,13,51.2,366,205.5,160,56.2,133.2,516.3,Dunning,NA,NO,NA,NA,Coastal,3,2,Carnivore,Omnivore,Terrestrial
Red-headed Woodpecker,Melanerpes erythrocephalus,0,0,N,3,NA,NA,NA,NA,56.1,97,76.55,NA,0,2400,2400,NA,1,NA,2,7,8,5,NA,NA,NA,3,6,NA,4,NA,NA,NA,Forest,8,Omnivore,3,4,0,3,T,0,T,T,T,10,"Bark, sap, eggs",3,1,0.619788758288394,0,0,0,1,0,0,1,0,3,CV,"B,C,T",NA,NA,3,10,B,12,14,24,31,0,1,78,NA,NA,NA,No,1,NA,1,NA,1,27.3,20.3,7.6,7.4,20.6,139.7,40.6,98.9,29.1,83.3,71.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial
Red-bellied Woodpecker,Melanerpes carolinus,0,0,N,3,43.6,74.5,43,80.3,56,91,64.73333333333333,NA,0,600,600,900,NA,NA,1,NA,NA,NA,NA,NA,NA,4,3,NA,2,NA,NA,NA,Woodland,4,Omnivore,3,3,T,4,T,0,T,T,T,10,"Eggs, sap",3,1,0.9208187539523752,0,0,0,0,1,0,1,0,NA,CV,"C,P,T",2,3,2,8,B,12,NA,22,27,0,0,55,NA,NA,NA,No,2,NA,1,NA,1,32.6,21.6,7.1,7.6,21.1,127.2,35.5,90.4,28.2,76.8,69.5,Dunning,NA,NO,NA,NA,Woodland,1,1,Omnivore,Omnivore,Insessorial
Yellow-bellied Sapsucker,Sphyrapicus varius,0,0,LN,2,37.9,55,44,56.8,35,62.2,48.48333333333333,NA,0,3000,3000,3500,2,NA,1,NA,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,Woodland,4,Omnivore,3,1,0,1,0,0,0,4,1,10,"Sap, phloem",5,1,0.6989700043360189,0,0,0,0,1,0,1,0,0,CV,T,NA,NA,4,7,B,12,13,25,29,0,0,NA,NA,NA,NA,No,1,NA,NA,NA,NA,24.8,19.2,6.7,6.3,20.5,124.8,42.2,82.6,33.9,74,50.3,Dunning,NA,NO,NA,NA,Woodland,1,3,Omnivore,Omnivore,Insessorial
