"","dif_mig","dif_habDen","dif_mass","dif_tailLen","dif_handWing","dif_Secondary","dif_KippsDist","dif_wingLen","dif_tarsusLen","dif_beakDep","dif_width","dif_beakLenNare","dif_beakLenCulm","dif_clutchMin","dif_clutchMax","dif_ESI","dif_DB","dif_HB","dif_normMax","dif_elevaRange","dif_weight","dif_LAT","dif_RLM","dif_primHab","dif_primDiet","dif_INwt","dif_FRwt","dif_NEwt","dif_SEwt","dif_VEwt","dif_FIwt","dif_SCwt","dif_PLwt","dif_MSwt","dif_trophicLvl","dif_trophicNic","dif_primLife","sp1","sp2","corr"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Chimney.Swift","Chimney.Swift",1
"2",0,0,40.4,102.5,27.3,46,24.4,19,12.9,5.8,4.1,16.5,22.9,1,2,0.380211241711606,2,1,700,700,34.0666666666667,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,"Chimney.Swift","Yellow.billed.Cuckoo",0.100359652096919
"3",2,2,95.3,78.4,33.7,55,33.7,20,8,1,0.2,5.8,13.3,0,5,0,0,0,700,700,104.333333333333,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,"Chimney.Swift","Mourning.Dove",-0.142710547494922
"4",2,0,45.9,33,42.1,53.8,51.3,2.8,9.5,5.2,4.2,18.1,26.3,0,1,0.380211241711606,2,1,2600,2600,42.0666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Chimney.Swift","Red.bellied.Woodpecker",0.299794819197965
"5",2,1,2,14.8,43.3,29.3,62.5,33.1,4.2,2.4,2,8.7,11.1,1,0,0.380211241711606,2,1,450,450,3.36666666666667,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,"Chimney.Swift","Downy.Woodpecker",-0.280431469962149
"6",0,1,3.9,26.3,49.7,30.1,69.4,40.5,6.1,1.7,2.6,6.2,11.1,0,1,0.397940008672037,0,3,700,700,3.53333333333333,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,"Chimney.Swift","Eastern.Phoebe",-0.336131579371797
"7",0,0,8.5,44.3,48.9,42.8,65.2,25.6,10.2,4.5,5.6,12,16.4,2,1,0.380211241711606,1,1,1800,1800,10.7333333333333,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,"Chimney.Swift","Great.Crested.Flycatcher",0.194587187392943
"8",0,0,7.5,8.90000000000001,40.5,19,63.2,46.9,7.9,2,1.4,6.1,10.1,1,2,0.204119982655925,1,1,200,200,3.47,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,"Chimney.Swift","Red.eyed.Vireo",-0.124357656731757
"9",0,1,12.2,5.1,52.4,14,75.7,62.8,7.9,1.7,1,3.9,7.4,1,2,0.0969100130080562,1,3,2200,2200,11.4933333333333,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,"Chimney.Swift","White.eyed.Vireo",0.148618764898851
"10",2,1,64.4,77.6,52.9,71.7,63.9,5.59999999999999,23.1,6.5,7.2,15.1,23.6,0,0,0.255272505103306,2,2,2200,2200,53.04,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,"Chimney.Swift","Blue.Jay",0.321116634269151
"11",1,1,425.2,123.3,33.8,149.6,20.1,169.1,43.4,14.2,11,29.7,43.6,1,0,0.903089986991944,4,3,1400,1400,433.266666666667,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"Chimney.Swift","American.Crow",-0.374743523997457
"12",2,2,261,113.3,34,139.6,13.8,152.3,35.5,12.4,10.9,23.7,37,0,1,0.778151250383644,4,1,2200,2200,250.158333333333,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"Chimney.Swift","Fish.Crow",-0.336189190406477
"13",2,0,2,24.8,54.2,28.6,74.3,46.5,8.9,3.1,2,5.3,7,3,0,0.556302500767287,2,1,2590,2590,0.866666666666667,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,"Chimney.Swift","Tufted.Titmouse",0.149580749614915
"14",2,1,13.6,5.8,50.8,10.4,75.4,65.6,3.2,1.3,0.6,3.1,2.6,3,1,0.556302500767287,2,1,1350,1350,12.25,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,"Chimney.Swift","Carolina.Chickadee",0.351652160746187
"15",2,1,30.2,28.6,18.3,34.1,10.2,22.8,3.4,2.4,3,5.9,10.5,0,1,0.0791812460476249,0,1,0,0,27.5666666666667,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,"Chimney.Swift","Purple.Martin",0.239204948933457
"16",0,2,5.7,26.6,17.7,19.4,24.5,8.60000000000001,0.0999999999999996,0.3,1.6,2.5,6.1,0,0,0.0791812460476249,0,1,200,200,3.31666666666667,3,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,"Chimney.Swift","Barn.Swallow",-0.0782266530508602
"17",2,1,4.6,6.90000000000001,58.9,16,80,65,9.8,1.5,0.3,7.6,10.6,1,1,0.221848749616356,0,2,1200,1200,2.86666666666667,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,"Chimney.Swift","Carolina.Wren",-0.197125360568525
"18",2,0,2.6,5,39.1,24.3,59.2,35.8,6.9,1.8,1.1,8.7,12.8,1,3,0.0969100130080562,1,3,300,300,0.946666666666669,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,"Chimney.Swift","White.breasted.Nuthatch",-0.294601581353758
"19",2,0,13.4,8.4,47,13.3,71.7,59.4,3.2,1.5,0.4,6.9,9,1,2,0.204119982655925,1,1,2600,2600,12.5906666666667,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,"Chimney.Swift","Brown.headed.Nuthatch",0.247645148348369
"20",0,1,24.9,73.8,49.7,53.9,63.7,12.1,20.6,2.9,1.7,8.7,15.8,0,1,0.204119982655925,1,1,200,200,25.4833333333333,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,"Chimney.Swift","Northern.Mockingbird",0.331677236322018
